ID,Harvester Config,Parser Config,Records Per Granule
GP03FLMA-RI001-14-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:56,50
GP03FLMA-RI001-15-CTDMOH999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:26,50
GP03FLMA-RI001-16-CTDMOH999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:29,50
GP03FLMA-RI001-17-CTDMOH999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:67,50
GP03FLMB-RI001-01-FLORTD999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",,50
GP03FLMB-RI001-02-PHSENF999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",,50
GP03FLMB-RI001-03-DOSTAD999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",,50
GP03FLMB-RI001-04-ADCPSL999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",,50
GP03FLMB-RI001-06-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:55,50
GP03FLMB-RI001-07-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:21,50
GP03FLMB-RI001-08-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:16,50
GP03FLMB-RI001-09-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:17,50
GP03FLMB-RI001-10-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:22,50
GP03FLMB-RI001-11-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:63,50
GP03FLMB-RI001-12-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:58,50
GP03FLMB-RI001-13-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:59,50
GP03FLMB-RI001-14-CTDMOG999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:53,50
GP03FLMB-RI001-15-CTDMOH999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:66,50
GP03FLMB-RI001-16-CTDMOH999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:65,50
GP03FLMB-RI001-17-CTDMOH999,"directory: /tmp/dsatest, pattern: node59p1.dat,frequency: 300",inductive_id:64,50
GP05MOAS-GL001,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL001/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL001-01-FLORDM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL001/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL001-02-DOSTAM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL001/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL001-04-CTDGVM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL001/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL002,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL002/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL002-01-FLORDM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL002/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL002-02-DOSTAM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL002/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL002-04-CTDGVM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL002/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL003,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL003/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL003-01-FLORDM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL003/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL003-02-DOSTAM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL003/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
GP05MOAS-GL003-04-CTDGVM999,"directory: /whoi/cg_whoi/OMC/GP05MOAS-GL003/D00001/merged-from-glider, pattern: unit*.mrg,frequency: 300",,50
CP02PMUI-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUI-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUI-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMUI-RI001-01-ADCPTG999,"directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/imm/adcpt, pattern: adcpt_*_*.DAT,frequency: 300",,50
CP02PMUI-SB001,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30,mopak.directory: /whoi/cg_whoi/OMC/CP02PMUI/X00001/3dmgx3,mopak.pattern: *_*.3dmgx3.log,mopak.frequency: 300,mopak.file_mod_wait_time: 30",,50
CP02PMUO-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUO-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUO-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMUO-RI001-01-ADCPSL999,"directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/imm/adcps, pattern: adcps_*_*.DAT,frequency: 300",,50
CP02PMUO-SB001,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30,mopak.directory: /whoi/cg_whoi/OMC/CP02PMUO/X00001/3dmgx3,mopak.pattern: *_*.3dmgx3.log,mopak.frequency: 300,mopak.file_mod_wait_time: 30",,50
CE09OSPM-WF001,"directory: /whoi/cg_whoi/OMC/CE09OSPM/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CE09OSPM-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CE09OSPM/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CE09OSPM-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CE09OSPM/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CE09OSPM-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CE09OSPM/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CE09OSPM-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CE09OSPM/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CE09OSPM-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CE09OSPM/D00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CE09OSPM-SB001,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CE09OSPM/D00001/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30",,50
CP02PMCI-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCI-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCI-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCI-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCI-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCI-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMCI-RI001-01-ADCPTG999,"directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/imm/adcpt, pattern: adcpt_*_*.DAT,frequency: 300",,50
CP02PMCI-SB001,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30,mopak.directory: /whoi/cg_whoi/OMC/CP02PMCI/D00001/3dmgx3,mopak.pattern: *_*.3dmgx3.log,mopak.frequency: 300,mopak.file_mod_wait_time: 30",,50
CP02PMCO-WF001,"directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCO-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCO-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMCO-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCO-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMCO-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMCO-RI001-01-ADCPTG999,"directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/imm/adcpt, pattern: adcpt_*_*.DAT,frequency: 300",,50
CP02PMCO-SB001,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30,mopak.directory: /whoi/cg_whoi/OMC/CP02PMCO/D00001/3dmgx3,mopak.pattern: *_*.3dmgx3.log,mopak.frequency: 300,mopak.file_mod_wait_time: 30",,50
CP04OSPM-WF001,"directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP04OSPM-WF001-03-CTDPFK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP04OSPM-WF001-02-DOFSTK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP04OSPM-WF001-04-FLORTK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP04OSPM-WF001-05-PARADK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP04OSPM-WF001-01-VEL3DK999,"directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP04OSPM-SB001,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30,mopak.directory: /whoi/cg_whoi/OMC/CP04OSPM/D00001/3dmgx3,mopak.pattern: *_*.3dmgx3.log,mopak.frequency: 300,mopak.file_mod_wait_time: 30",,50
CP02PMUI-WF001_PD_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-03-CTDPFK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUI-WF001-02-DOFSTK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUI-WF001-04-FLORTK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-05-PARADK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUI-WF001-01-VEL3DK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMUI-RI001-01-ADCPTG999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/imm/adcpt, pattern: adcpt_*_*.DAT,frequency: 300",,50
CP02PMUI-SB001_PD_CL1,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30,mopak.directory: /whoi/cg_whoi/OMC/CP02PMUI/D00002/3dmgx3,mopak.pattern: *_*.3dmgx3.log,mopak.frequency: 300,mopak.file_mod_wait_time: 30",,50
CP02PMUO-WF001_PD_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-03-CTDPFK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUO-WF001-02-DOFSTK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/imm/mmp, pattern: C*.DAT,frequency: 300",,50
CP02PMUO-WF001-04-FLORTK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-05-PARADK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/imm/mmp, pattern: E*.DAT,frequency: 300",,50
CP02PMUO-WF001-01-VEL3DK999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/imm/mmp, pattern: A*.DEC,frequency: 300",,50
CP02PMUO-RI001-01-ADCPSL999_ID_CL1,"directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/imm/adcps, pattern: adcps_*_*.DAT,frequency: 300",,50
CP02PMUO-SB001_PD_CL1,"cg_stc_eng.directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/irid2shore,cg_stc_eng.pattern: stc_status.*_*.txt,cg_stc_eng.frequency: 300,cg_stc_eng.file_mod_wait_time: 30,mopak.directory: /whoi/cg_whoi/OMC/CP02PMUO/D00002/3dmgx3,mopak.pattern: *_*.3dmgx3.log,mopak.frequency: 300,mopak.file_mod_wait_time: 30",,50
